session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current education level,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,Vision
607567a6a2f85d163560fc96,602832bc556222342a07b455,APPROVED,43:03.5,15:05.1,1921.592,19,131,0,100,28:36.4,2CF81554,Portugal,Portugal,Graduate degree (MA/MSc/MPhil/other),Other,Portuguese,"Portuguese, English",Portugal,Male,Yes,Yes
607567a7faedbce7edd52997,5e97018fc5a84918ec899112,APPROVED,43:03.5,54:49.7,706.264,25,100,2,98,28:38.0,2CF81554,Spain,Spain,Graduate degree (MA/MSc/MPhil/other),Part-Time,Spanish,"English, Spanish",Spain,Female,Yes,Yes
607567afb9f02c1c1296f9c7,60075468763f8022cd8313ef,APPROVED,43:25.9,54:22.0,656.092,22,132,3,99,28:39.3,2CF81554,United Kingdom,United Kingdom,Undergraduate degree (BA/BSc/other),Part-Time,English,English,United Kingdom,Female,Yes,Yes
607567b080c871295aff6866,5fb55cafbee6990344bf98f5,APPROVED,43:12.0,55:19.5,727.566,25,90,1,100,28:40.9,2CF81554,Greece,Greece,Graduate degree (MA/MSc/MPhil/other),Full-Time,Greek,"Greek, English, French",Greece,Female,Yes,Yes
607567b1336418576b94323f,60476abe1e9b3823e4b126d3,APPROVED,43:46.8,56:41.5,774.647,21,45,0,100,28:42.2,2CF81554,Finland,Finland,Graduate degree (MA/MSc/MPhil/other),Other,Swedish,"Finnish, Norwegian, Swedish, English",Finland,Male,Yes,Yes
607567b52f0a4dcf10e4227b,5ee9547329adca1d9c5b2720,APPROVED,43:18.7,58:27.6,908.939,24,137,4,98,28:43.6,2CF81554,Italy,Italy,DATA EXPIRED,Full-Time,Italian,"English, Italian",Italy,Female,DATA EXPIRED,Yes
607567bbeb23e0c0924112dd,5f2db499c955540cf20065d9,APPROVED,43:23.2,04:46.9,1283.7,20,107,0,100,28:45.1,2CF81554,Spain,Spain,Undergraduate degree (BA/BSc/other),Unemployed (and job seeking),Spanish,"English, Spanish",Spain,Male,Yes,Yes
607567be0af983ce36746275,5fc105d14718bb07ef776233,APPROVED,43:28.1,55:08.8,700.65,19,164,0,100,28:46.4,2CF81554,United Kingdom,United Kingdom,Undergraduate degree (BA/BSc/other),Part-Time,English,English,United Kingdom,Female,Yes,Yes
607567bf17bfa8b6fff96dd5,5f900c48e6dadf0401d0c6e2,APPROVED,43:27.7,04:25.2,1257.504,22,119,0,100,28:48.0,2CF81554,Poland,Ireland,Undergraduate degree (BA/BSc/other),Other,Polish,"Polish, English",Poland,Male,Yes,Yes
607567c01f62f73e6de039c4,5f48cec1d9745802d7ab1e1b,APPROVED,44:13.8,54:59.3,645.508,24,126,0,100,28:49.3,2CF81554,Italy,Italy,Graduate degree (MA/MSc/MPhil/other),Other,Italian,"English, Italian",Italy,Male,Yes,Yes
607567c56aa0f9b0de5c0d33,5f1e160aaaffd77af020ad14,APPROVED,43:33.2,55:24.7,711.47,23,123,0,100,28:50.9,2CF81554,Poland,Poland,DATA EXPIRED,Part-Time,Polish,"Polish, Spanish, Italian, German, English",Poland,Male,Yes,Yes
607567ca2f0a4dcf10e4227d,5fc637de1fb5ab218ee15c39,APPROVED,43:41.7,47:14.2,212.542,25,127,0,100,28:52.3,NOCODE,Singapore,United Kingdom,Undergraduate degree (BA/BSc/other),DATA EXPIRED,English,English,Singapore,Female,DATA EXPIRED,Yes
607567cee6f0e56fdb880587,5a0faf7a120fb3000194961d,APPROVED,43:42.1,15:03.9,1881.795,25,291,0,100,28:53.9,2CF81554,Greece,Greece,DATA EXPIRED,DATA EXPIRED,Greek,"English, Greek",Greece,Male,DATA EXPIRED,Yes
607567d0053d1fcfb9673d2e,5b3d32794915d00001827df7,APPROVED,47:06.6,59:11.3,724.717,21,294,1,100,28:55.9,2CF81554,Poland,Poland,DATA EXPIRED,DATA EXPIRED,Polish,English,Poland,Male,Yes,Yes
607567d8db28fe3749cfe72e,5f12f6ba7dc2bb2924af6d56,APPROVED,43:52.4,07:22.9,1410.519,25,167,1,100,28:58.0,2CF81554,New Zealand,New Zealand,Undergraduate degree (BA/BSc/other),DATA EXPIRED,English,English,New Zealand,Male,Yes,Yes
607567daa01295b14d4fbc70,5f463b6fff834e000b9d679c,APPROVED,43:54.6,54:10.5,615.929,28,131,1,100,28:59.4,2CF81554,Portugal,Portugal,Graduate degree (MA/MSc/MPhil/other),Unemployed (and job seeking),Portuguese,"English, French, Portuguese, Spanish",Portugal,Female,Yes,Yes
607567dcb28785ec2fc7dba1,5f174b51034f640a7923ee71,APPROVED,43:56.6,01:12.6,1035.992,29,118,1,99,29:01.2,2CF81554,France,France,DATA EXPIRED,DATA EXPIRED,French,"English, French",France,Male,Yes,Yes
607567e3b6e51bb507df3fd7,5eb14f05f30ede03a6ed7d27,APPROVED,44:28.1,58:27.6,839.5,22,123,1,100,29:02.4,2CF81554,Greece,Greece,Graduate degree (MA/MSc/MPhil/other),Full-Time,Greek,"Armenian, Greek, Russian, Spanish, English",Armenia,Female,Yes,Yes
607567e40e54b7890a61d572,5e8faad045be1b2acc57d215,APPROVED,44:04.7,02:32.9,1108.141,20,175,1,100,29:04.1,2CF81554,Poland,Poland,Undergraduate degree (BA/BSc/other),DATA EXPIRED,Polish,"English, Polish",Poland,Male,Yes,Yes
607567ec4e7da0209f3d8bb0,5d5575339025920017fd271f,APPROVED,44:12.0,58:43.2,871.163,20,292,3,100,29:05.8,2CF81554,Portugal,Portugal,Undergraduate degree (BA/BSc/other),"Not in paid work (e.g. homemaker', 'retired or disabled)",Portuguese,"English, Portuguese",Portugal,Male,Yes,Yes
607567f8647322515d97dd76,5f578563765fec223eb51594,APPROVED,44:24.7,59:18.8,894.101,26,112,2,100,29:07.8,2CF81554,Spain,Spain,DATA EXPIRED,Unemployed (and job seeking),Spanish,"Catalan, English, Spanish",Spain,Male,No,Yes
607567fc99f15f3259e9bea2,5ea95d2aafce3f042fe846b9,APPROVED,44:28.0,54:55.2,627.203,22,174,0,100,29:09.3,2CF81554,United Kingdom,United Kingdom,Undergraduate degree (BA/BSc/other),Part-Time,English,English,United Kingdom,Female,Yes,Yes
607568033d8f347604e9a453,5ef212414a410701dbc72427,APPROVED,45:53.1,05:17.9,1164.803,25,119,0,100,29:10.9,2CF81554,Italy,Italy,Graduate degree (MA/MSc/MPhil/other),Other,Italian,"Italian, English, Spanish",Italy,Female,Yes,Yes
607568071912473e2224feba,5ea944c287b415000ce42862,APPROVED,44:39.4,56:46.1,726.649,46,323,0,100,29:12.4,2CF81554,Spain,Spain,Doctorate degree (PhD/other),Full-Time,English,"Spanish, English, French",Spain,Male,Yes,Yes
60756810cb7ed1a4cf24efe1,5f4a1ad20dda1f01b9d31513,APPROVED,44:48.4,56:19.5,691.085,25,103,0,100,29:14.1,2CF81554,Poland,Poland,Graduate degree (MA/MSc/MPhil/other),Part-Time,Polish,"English, German, Polish, Italian",Poland,Female,Yes,Yes
60756812e51d1883d2eb03ae,5fc8fb4248ac3a31edbc450d,APPROVED,45:27.1,55:44.0,616.923,22,109,0,100,29:15.6,2CF81554,United Kingdom,United Kingdom,Undergraduate degree (BA/BSc/other),Unemployed (and job seeking),English,English,United Kingdom,Female,Yes,Yes
6075681570b405461506edc2,5fb4f3448892dc2e1fe5a2f8,APPROVED,44:53.3,54:36.6,583.247,21,215,0,100,29:16.9,2CF81554,United Kingdom,United Kingdom,Undergraduate degree (BA/BSc/other),Other,English,"English, Chinese",United Kingdom,Female,Yes,Yes
607568187aaf58982bf5868c,5ec94a815bb88d445fa6bf50,APPROVED,44:56.2,56:19.2,682.929,20,119,2,99,29:18.4,2CF81554,Portugal,Portugal,Undergraduate degree (BA/BSc/other),Other,Portuguese,"English, Portuguese",Portugal,Female,Yes,Yes
6075681c4545876e80f529d0,5feb6c7bb289af7474291a40,APPROVED,48:50.2,02:43.2,833.006,27,150,0,100,29:20.0,2CF81554,Spain,Spain,Graduate degree (MA/MSc/MPhil/other),Full-Time,Spanish,"Basque, English, Galician, Spanish",Spain,Female,Yes,Yes
6075681f915f42dd73844b7d,6001c12e7734930342edad15,APPROVED,45:08.0,49:22.7,254.635,23,65,3,97,29:21.3,NOCODE,Poland,Poland,High school diploma/A-levels,Part-Time,Polish,"English, Polish",Poland,Female,Yes,Yes
60756820b69f75c9be693624,5c5f33a97ba8710001f5e24d,APPROVED,45:04.1,07:29.0,1344.941,22,263,1,100,29:22.7,2CF81554,Poland,Poland,Don't know / not applicable,Part-Time,Polish,"Polish, English",Poland,Male,Yes,Yes
607568272ecbe3f20b179bb2,5fc0e1885c65d1016d1df655,APPROVED,46:26.8,50:40.9,254.136,22,59,2,98,29:24.5,NOCODE,Poland,Poland,Undergraduate degree (BA/BSc/other),Unemployed (and job seeking),Polish,"Polish, Russian, English",Poland,Female,Yes,Yes
6075682948e3ed15172a07d3,5f96faa0195d0903ae20c5fc,APPROVED,45:26.2,57:28.0,721.805,22,83,0,100,29:25.9,2CF81554,Portugal,Portugal,Graduate degree (MA/MSc/MPhil/other),Other,Portuguese,"Portuguese, Spanish, English",Portugal,Female,Yes,Yes
60756834faedbce7edd529a0,5ecd4ad53f44fd094d7865d4,APPROVED,48:51.2,59:41.1,649.886,25,155,0,100,29:27.3,2CF81554,China,Spain,Undergraduate degree (BA/BSc/other),Unemployed (and job seeking),Spanish,"English, Spanish",Spain,Female,Yes,Yes
607568361f62f73e6de039cd,5e8071327ef97e73b9720b28,APPROVED,45:47.3,01:23.6,936.316,27,46,0,100,29:28.8,2CF81554,Slovenia,Slovenia,Undergraduate degree (BA/BSc/other),Full-Time,Slovenian,"Croatian, English, Slovenian",Slovenia,Male,Yes,Yes
60756837cae1cd62c3f04c21,601bcb2af530395b71571b1d,APPROVED,45:27.2,49:45.7,258.433,19,56,0,100,29:30.3,NOCODE,Hungary,Hungary,Undergraduate degree (BA/BSc/other),Other,Hungarian,"English, Hungarian",Hungary,Male,Yes,Yes
60756838fc8ebf09b5453dba,5f21a031b4127d0d141bf454,APPROVED,45:41.4,01:11.6,930.229,24,110,0,100,29:31.5,NOCODE,Poland,Poland,Graduate degree (MA/MSc/MPhil/other),Part-Time,Polish,"English, Polish, French",Poland,Female,Yes,Yes
6075683a9d1b6406b793572b,5e569bf08506630452c77051,APPROVED,45:30.1,48:29.1,178.948,24,158,2,100,29:32.7,NOCODE,Spain,Spain,Graduate degree (MA/MSc/MPhil/other),Due to start a new job within the next month,Spanish,"Catalan, English, Spanish",Spain,Male,Yes,Yes
6075683f2293fa42b8a2e593,6048e2f185b7e35621d30427,APPROVED,45:35.6,58:30.9,775.286,22,35,1,99,29:34.4,2CF81554,Portugal,Portugal,Graduate degree (MA/MSc/MPhil/other),Other,Portuguese,"English, Portuguese",Portugal,Male,Yes,Yes
60756840942ee5fc25c2a294,5dd43527794e1041e44fde8e,APPROVED,46:03.1,52:57.8,414.722,26,117,2,99,29:35.6,NOCODE,Poland,Poland,DATA EXPIRED,Full-Time,Polish,"Polish, English",Poland,Female,No,Yes
607568425d54eb3d8f30e739,5f70da0041a7cb0e0bb15d0e,APPROVED,45:46.2,49:36.5,230.293,31,36,0,100,29:37.3,NOCODE,Argentina,Germany,DATA EXPIRED,Full-Time,Spanish,"English, Italian, Spanish",Italy,Male,No,Yes
6075684bb0a159139f05f8a4,601c97070f9e0680d66ed0dc,APPROVED,45:47.4,56:59.2,671.821,19,57,0,100,29:38.5,2CF81554,Portugal,Portugal,Undergraduate degree (BA/BSc/other),Other,Portuguese,"Portuguese, English",Portugal,Male,Yes,Yes
6075684d8b7980744f7ebadc,5f808f2a2c770e0cd61f624f,APPROVED,45:49.3,58:03.3,734.009,19,114,0,100,29:39.6,2CF81554,Spain,Spain,Graduate degree (MA/MSc/MPhil/other),Other,Spanish,"Spanish, English",Spain,Female,Yes,Yes
60756855fca5a2712f83ec9d,5c1bfe962c45d40001470dd2,APPROVED,48:33.1,04:33.9,960.832,21,275,2,99,29:41.1,2CF81554,Russian Federation,DATA EXPIRED,Undergraduate degree (BA/BSc/other),Other,Russian,"English, German, Russian",Russian Federation,Female,Yes,Yes
607568582b531905cadccf9b,602e371262da62935c4753a5,APPROVED,47:10.8,55:16.8,486.03,31,75,1,100,29:42.8,NOCODE,United Kingdom,United Kingdom,DATA EXPIRED,Due to start a new job within the next month,English,English,United Kingdom,Male,Yes,Yes
6075685ad9494152e5d6e24e,5f4ea48e343f530cbee14cdc,APPROVED,46:02.5,48:34.9,152.378,24,139,0,100,29:44.3,NOCODE,Italy,Netherlands,Graduate degree (MA/MSc/MPhil/other),Full-Time,Italian,"English, Italian",Italy,Male,Yes,Yes
6075685c732aa9402f4a6ba9,603575000ae69f0358b9b505,APPROVED,46:40.8,59:54.9,794.114,20,31,0,100,29:45.7,2CF81554,Hungary,Hungary,Undergraduate degree (BA/BSc/other),Part-Time,Hungarian,"English, Hungarian",Hungary,Male,Yes,Yes
6075685f063c13ef9b2ec619,5f29b5074201cc12165ceb76,APPROVED,46:07.7,56:13.5,605.865,23,76,0,100,29:47.0,2CF81554,Greece,Greece,Graduate degree (MA/MSc/MPhil/other),Other,Greek,"English, French, German, Greek",Greece,Female,Yes,Yes
60756865d555d952d606adb4,5c2e818561f049000169d2d5,APPROVED,46:13.4,57:21.7,668.31,21,232,4,99,29:48.2,2CF81554,Poland,Poland,Undergraduate degree (BA/BSc/other),Unemployed (and job seeking),Polish,"Polish, English",Poland,Male,Yes,Yes
6075686ca2f85d163560fc9d,5ecc010e39bc6d0be9636e45,APPROVED,46:20.2,08:34.5,1334.307,24,106,1,99,29:49.9,2CF81554,Portugal,Portugal,Graduate degree (MA/MSc/MPhil/other),Other,Portuguese,"English, Portuguese",Portugal,Male,Yes,Yes
6075686fe3e5bac32b04185b,5df7a5766887bc54aa8078a9,APPROVED,48:48.7,02:54.0,845.243,20,87,0,100,29:51.4,2CF81554,Greece,Greece,DATA EXPIRED,DATA EXPIRED,Greek,"Greek, English",Greece,Female,DATA EXPIRED,Yes
6075687b7e63121bbe59402b,5f40c670f10f171ff50afe48,APPROVED,47:13.1,58:06.5,653.399,27,251,0,100,29:52.6,2CF81554,United Kingdom,United Kingdom,DATA EXPIRED,Full-Time,English,English,United Kingdom,Female,No,Yes
6075687d664496926f2f2e4c,5c44971a66ac560001afd722,APPROVED,46:40.3,00:09.9,809.58,20,122,0,100,29:54.2,2CF81554,Estonia,Estonia,Undergraduate degree (BA/BSc/other),Part-Time,Estonian,"English, Russian, Estonian",Estonia,Male,Yes,Yes
60756880553839e105fb6b04,5fdf55fa0f157d77cee554ef,APPROVED,46:40.1,58:07.1,687.048,24,46,0,100,29:55.8,2CF81554,Portugal,Portugal,Graduate degree (MA/MSc/MPhil/other),Due to start a new job within the next month,Portuguese,"English, Portuguese",Portugal,Male,Yes,Yes
60756884e49502eb24f69435,5f8a565874d414118b763b93,APPROVED,46:44.5,50:43.5,238.979,19,80,1,100,29:56.9,NOCODE,Spain,Spain,Undergraduate degree (BA/BSc/other),"Not in paid work (e.g. homemaker', 'retired or disabled)",Basque,"Basque, Spanish, English, Catalan",Spain,Male,Yes,Yes
607568852e424fbb263fd5cc,5eab0df319a24d0af1de72dd,APPROVED,47:11.7,59:50.7,759.013,20,155,1,100,29:58.4,2CF81554,Greece,Greece,Undergraduate degree (BA/BSc/other),Other,Greek,"Greek, English",Greece,Female,Yes,Yes
6075688848e3ed15172a07d9,5f6b70731bd72e064edba534,APPROVED,46:48.5,02:14.7,926.188,22,92,0,100,29:59.9,2CF81554,Portugal,Portugal,Graduate degree (MA/MSc/MPhil/other),Other,Portuguese,"Portuguese, English",Portugal,Male,Yes,Yes
